Sl. No.	PAN Category	2019-20	2020-21	2021-22	2022-23	2023-24
1	Individual	61130366	63171013	65461868	69690925	76370510
2	HUF	1158601	1201502	1226587	1246413	1285421
3	Firm	1298406	1410154	1451576	1510551	1588455
4	Company	840511	924296	971319	1027200	1080882
5	AOP(Trust)	241893	263856	271117	274213	290665
6	Other AOP/BOI	184360	224358	240167	247682	273672
7	Local Authority	2861	3534	3594	3529	3760
8	AJP	8583	9505	8800	9321	9394
9	Others	307	396	418	435	556
Total	Total	64865888	67208614	69635446	74010269	80903315
